Pair;set;category;modality;traits;delta
1;b) complete dataset;aquatic stages;aquatic stage as egg;tachaqua_egg;0.064841969
1;b) complete dataset;aquatic stages;aquatic stage as larva;tachaqua_larva;-0.007573449
1;b) complete dataset;aquatic stages;aquatic stage as nmyph/pupa;tachaqua_nymph;-0.05210647
1;b) complete dataset;aquatic stages;aquatic stage as adult;tachaqua_adult;-0.00516205
1;b) complete dataset;dispersal;aquatic passive;tachdisp_aquapass;-0.065751613
1;b) complete dataset;dispersal;aquatic active;tachdisp_aquaact;0.047121124
1;b) complete dataset;dispersal;aerial passive;tachdisp_aerpass;-0.011420459
1;b) complete dataset;dispersal;aerial active;tachdisp_aeract;0.030050948
1;b) complete dataset;feeding habits;absorbers;tachfeed_abs;-0.013008704
1;b) complete dataset;feeding habits;deposit feeders;tachfeed_dpf;-0.097510431
1;b) complete dataset;feeding habits;shredders;tachfeed_shr;-0.082136193
1;b) complete dataset;feeding habits;scrapers;tachfeed_scr;0.052239629
1;b) complete dataset;feeding habits;filter-feeders;tachfeed_fif;0.00922357
1;b) complete dataset;feeding habits;piercers;tachfeed_pie;0.102714248
1;b) complete dataset;feeding habits;predators;tachfeed_pre;0.037903523
1;b) complete dataset;feeding habits;parasites;tachfeed_par;-0.009425642
1;b) complete dataset;locomotion;flier;tachloco_flr;0.011070943
1;b) complete dataset;locomotion;surface swimmer;tachloco_ssw;-0.003671072
1;b) complete dataset;locomotion;full water swimmer;tachloco_wsw;-0.019182779
1;b) complete dataset;locomotion;crawler;tachloco_crw;0.075743556
1;b) complete dataset;locomotion;burrower;tachloco_bur;-0.00491449
1;b) complete dataset;locomotion;interstitial;tachloco_int;-0.06232049
1;b) complete dataset;locomotion;temporarily attached;tachloco_tat;0.003339726
1;b) complete dataset;locomotion;permanently attached;tachloco_pat;-6.54E-05
1;b) complete dataset;voltinism;semivoltine;tachrepcyc_less1;0.0026759
1;b) complete dataset;voltinism;monovoltine;tachrepcyc_one;0.168578254
1;b) complete dataset;voltinism;polyvoltine;tachrepcyc_gr1;-0.171254154
1;b) complete dataset;reproduction;ovoviviparity;tachrepro_ovo;-0.086980533
1;b) complete dataset;reproduction;isolated eggs, free;tachrepro_fie;-0.012151796
1;b) complete dataset;reproduction;isolated eggs, cemented;tachrepro_cie;0.113088721
1;b) complete dataset;reproduction;clutches, cemented;tachrepro_fic;0.124804279
1;b) complete dataset;reproduction;clutches, free;tachrepro_frc;-0.06125152
1;b) complete dataset;reproduction;clutches, in vegetation;tachrepro_vec;-0.013215859
1;b) complete dataset;reproduction;clutches, terrestrial;tachrepro_tec;-0.00741943
1;b) complete dataset;reproduction;asexual reproduction;tachrepro_ase;-0.056873862
1;b) complete dataset;resistant forms;egg, gemmula, statoblasts;tachresist_egg;0.049140049
1;b) complete dataset;resistant forms;cocoons;tachresist_coc;-0.060983532
1;b) complete dataset;resistant forms;housing against dessication;tachresist_hou;0
1;b) complete dataset;resistant forms;diapause or dormany;tachresist_did;0.061082565
1;b) complete dataset;resistant forms;none;tachresist_non;-0.049239082
1;b) complete dataset;respiration;tegument;tachrespir_teg;-0.090102323
1;b) complete dataset;respiration;gill;tachrespir_gil;-0.038283916
1;b) complete dataset;respiration;plastron;tachrespir_pls;0.061228171
1;b) complete dataset;respiration;spiracle;tachrespir_spi;0.067158067
1;b) complete dataset;respiration;hydrostatic vesicle;tachrespir_ves;0
1;b) complete dataset;fecundity;< 100;fecund_less100;0.066252654
1;b) complete dataset;fecundity;100 - 1000;fecund_100to1000;-0.08073917
1;b) complete dataset;fecundity;1000 - 3000;fecund_1000to3000;0.006902941
1;b) complete dataset;fecundity;> 3000;fecund_gr3000;0.007583575
5;b) complete dataset;aquatic stages;aquatic stage as egg;tachaqua_egg;0.105458658
5;b) complete dataset;aquatic stages;aquatic stage as larva;tachaqua_larva;0.006146925
5;b) complete dataset;aquatic stages;aquatic stage as nmyph/pupa;tachaqua_nymph;-0.097184083
