"pos","set","Pair","var","values"
"down","b) complete dataset",1,"Richness",-1.91475294655509
"down","b) complete dataset",1,"Evenness",-2.84369064856265
"down","b) complete dataset",1,"Dispersion",0.21546321605955
"down","b) complete dataset",1,"Redundancy",0.148670240743832
"up","b) complete dataset",1,"Richness",-1.25871221451556
"up","b) complete dataset",1,"Evenness",-0.775592604466814
"up","b) complete dataset",1,"Dispersion",-0.939298008678775
"up","b) complete dataset",1,"Redundancy",1.31332657280909
"down","b) complete dataset",5,"Richness",-1.46275794579498
"down","b) complete dataset",5,"Evenness",-2.35905833738897
"down","b) complete dataset",5,"Dispersion",-1.10432307964652
"down","b) complete dataset",5,"Redundancy",1.30584902093123
"up","b) complete dataset",5,"Richness",-2.30872239844374
"up","b) complete dataset",5,"Evenness",-1.55141136525625
"up","b) complete dataset",5,"Dispersion",-0.804727922745033
"up","b) complete dataset",5,"Redundancy",0.874351849709588
"down","b) complete dataset",7,"Richness",-2.15755618635786
"down","b) complete dataset",7,"Evenness",-1.58520988541731
"down","b) complete dataset",7,"Dispersion",0.058662804731349
"down","b) complete dataset",7,"Redundancy",0.13853050009574
"up","b) complete dataset",7,"Richness",0.484540381502477
"up","b) complete dataset",7,"Evenness",0.7706879093956
"up","b) complete dataset",7,"Dispersion",-0.692976113724501
"up","b) complete dataset",7,"Redundancy",0.528340756213872
"down","b) complete dataset",8,"Richness",-1.93023825411739
"down","b) complete dataset",8,"Evenness",1.19861604459271
"down","b) complete dataset",8,"Dispersion",-0.653682620887104
"down","b) complete dataset",8,"Redundancy",0.57931188528947
"up","b) complete dataset",8,"Richness",-1.61662035034863
"up","b) complete dataset",8,"Evenness",0.48506262101534
"up","b) complete dataset",8,"Dispersion",-0.577953844137752
"up","b) complete dataset",8,"Redundancy",0.609291349788499
"down","b) complete dataset",9,"Richness",-0.973522301361103
"down","b) complete dataset",9,"Evenness",0.46800970463001
"down","b) complete dataset",9,"Dispersion",-1.46678712579467
"down","b) complete dataset",9,"Redundancy",1.31575075805138
"up","b) complete dataset",9,"Richness",-1.05508672320663
"up","b) complete dataset",9,"Evenness",-1.17770422385494
"up","b) complete dataset",9,"Dispersion",0.00142463638017366
"up","b) complete dataset",9,"Redundancy",0.358381154303388
"down","b) complete dataset",13,"Richness",-1.43492429084487
"down","b) complete dataset",13,"Evenness",-2.12391830068678
"down","b) complete dataset",13,"Dispersion",-0.399815081438308
"down","b) complete dataset",13,"Redundancy",0.491408770755379
"up","b) complete dataset",13,"Richness",0.234157916474038
"up","b) complete dataset",13,"Evenness",-1.27429303706435
"up","b) complete dataset",13,"Dispersion",-0.121612520298095
"up","b) complete dataset",13,"Redundancy",0.341075027887489
"down","b) complete dataset",14,"Richness",-1.10073455057787
"down","b) complete dataset",14,"Evenness",0.150559467381302
"down","b) complete dataset",14,"Dispersion",-0.522597819854562
"down","b) complete dataset",14,"Redundancy",0.261347596877736
"up","b) complete dataset",14,"Richness",-1.70858124381345
"up","b) complete dataset",14,"Evenness",-0.303115277893212
"up","b) complete dataset",14,"Dispersion",0.232437212829284
"up","b) complete dataset",14,"Redundancy",-0.0491725498377277
"down","b) complete dataset",16,"Richness",-0.916583157163079
"down","b) complete dataset",16,"Evenness",-1.80004192171219
"down","b) complete dataset",16,"Dispersion",-0.184123983540777
"down","b) complete dataset",16,"Redundancy",0.334369190229039
"up","b) complete dataset",16,"Richness",-1.57223555095125
"up","b) complete dataset",16,"Evenness",-2.91615740571257
"up","b) complete dataset",16,"Dispersion",-0.481038878757888
"up","b) complete dataset",16,"Redundancy",0.891326228101194
"down","b) complete dataset",17,"Richness",0.455420954826477
"down","b) complete dataset",17,"Evenness",-0.924295023463732
"down","b) complete dataset",17,"Dispersion",-0.723848290252947
"down","b) complete dataset",17,"Redundancy",1.31142069329121
"up","b) complete dataset",17,"Richness",-0.626101597813751
"up","b) complete dataset",17,"Evenness",-1.04809693484823
"up","b) complete dataset",17,"Dispersion",1.50128477908214
"up","b) complete dataset",17,"Redundancy",-1.48857639653997
"down","b) complete dataset",21,"Richness",-1.44968444540234
"down","b) complete dataset",21,"Evenness",-1.62288242946272
"down","b) complete dataset",21,"Dispersion",0.518948311998222
"down","b) complete dataset",21,"Redundancy",-0.246357647338588
"up","b) complete dataset",21,"Richness",-2.16893715135727
"up","b) complete dataset",21,"Evenness",-1.57232638784003
"up","b) complete dataset",21,"Dispersion",-1.4082827604085
"up","b) complete dataset",21,"Redundancy",2.17521198898037
"down","b) complete dataset",23,"Richness",-0.663764079671966
"down","b) complete dataset",23,"Evenness",-1.42162046192657
"down","b) complete dataset",23,"Dispersion",-1.7001634315606
"down","b) complete dataset",23,"Redundancy",1.77480741566128
"up","b) complete dataset",23,"Richness",0.0785813380078656
"up","b) complete dataset",23,"Evenness",-0.895064551113393
"up","b) complete dataset",23,"Dispersion",-1.1325908122262
"up","b) complete dataset",23,"Redundancy",1.31124056216723
"down","b) complete dataset",25,"Richness",-1.39135029857115
"down","b) complete dataset",25,"Evenness",-0.270513125936344
"down","b) complete dataset",25,"Dispersion",-0.239756711619918
"down","b) complete dataset",25,"Redundancy",0.628845765965831
"up","b) complete dataset",25,"Richness",0.0289958745653242
"up","b) complete dataset",25,"Evenness",0.36975935565204
"up","b) complete dataset",25,"Dispersion",-0.698409825339231
"up","b) complete dataset",25,"Redundancy",0.581324335988845
"down","b) complete dataset",27,"Richness",-0.459784488510665
"down","b) complete dataset",27,"Evenness",0.00387370111439292
"down","b) complete dataset",27,"Dispersion",-0.376172251146988
"down","b) complete dataset",27,"Redundancy",0.365911962677326
"up","b) complete dataset",27,"Richness",-1.20108847685499
"up","b) complete dataset",27,"Evenness",0.645841005331906
"up","b) complete dataset",27,"Dispersion",-0.5339192142252
"up","b) complete dataset",27,"Redundancy",1.1410278669524
"down","b) complete dataset",32,"Richness",-2.44746680545045
"down","b) complete dataset",32,"Evenness",0.553223355036668
"down","b) complete dataset",32,"Dispersion",-3.00381087484387
"down","b) complete dataset",32,"Redundancy",2.75134432071961
"up","b) complete dataset",32,"Richness",-2.44671810166325
"up","b) complete dataset",32,"Evenness",0.28540527244917
"up","b) complete dataset",32,"Dispersion",-1.54523596384905
"up","b) complete dataset",32,"Redundancy",1.39978817609424
"down","b) complete dataset",34,"Richness",-1.32761327086028
"down","b) complete dataset",34,"Evenness",-0.619880416759018
"down","b) complete dataset",34,"Dispersion",-0.14384324324374
"down","b) complete dataset",34,"Redundancy",0.286146742006443
"up","b) complete dataset",34,"Richness",-1.94858979903689
"up","b) complete dataset",34,"Evenness",-0.396797820173859
"up","b) complete dataset",34,"Dispersion",-0.429754246997249
"up","b) complete dataset",34,"Redundancy",0.641191264544844
"down","b) complete dataset",37,"Richness",-1.37609904953414
"down","b) complete dataset",37,"Evenness",0.523669822814632
"down","b) complete dataset",37,"Dispersion",0.528632143370582
"down","b) complete dataset",37,"Redundancy",-0.665891363815217
"up","b) complete dataset",37,"Richness",-2.14122505362744
"up","b) complete dataset",37,"Evenness",-0.417616969880322
"up","b) complete dataset",37,"Dispersion",-0.20495704077662
"up","b) complete dataset",37,"Redundancy",0.351836262127037
"down","b) complete dataset",40,"Richness",-0.325922455449665
"down","b) complete dataset",40,"Evenness",-1.11630534746666
"down","b) complete dataset",40,"Dispersion",0.326604217546781
"down","b) complete dataset",40,"Redundancy",-0.0330501865400427
"up","b) complete dataset",40,"Richness",0.620022765739889
"up","b) complete dataset",40,"Evenness",-1.77299193155553
"up","b) complete dataset",40,"Dispersion",-0.943437544364278
"up","b) complete dataset",40,"Redundancy",1.17087832091511
"down","b) complete dataset",43,"Richness",-0.976738311315617
"down","b) complete dataset",43,"Evenness",-0.55719177549891
"down","b) complete dataset",43,"Dispersion",-1.78558183191784
"down","b) complete dataset",43,"Redundancy",1.97501628092633
"up","b) complete dataset",43,"Richness",-1.31420783625985
"up","b) complete dataset",43,"Evenness",-0.510655845403733
"up","b) complete dataset",43,"Dispersion",-0.961938920336711
"up","b) complete dataset",43,"Redundancy",1.05473339850401
"down","b) complete dataset",44,"Richness",-0.404106567158137
"down","b) complete dataset",44,"Evenness",0.876141610476878
"down","b) complete dataset",44,"Dispersion",-0.748053311304055
"down","b) complete dataset",44,"Redundancy",0.871552894681337
"up","b) complete dataset",44,"Richness",-1.36001955690168
"up","b) complete dataset",44,"Evenness",-1.09102836047013
"up","b) complete dataset",44,"Dispersion",-0.0141455335511029
"up","b) complete dataset",44,"Redundancy",0.0480586585118798
"down","b) complete dataset",45,"Richness",-2.30872239844374
"down","b) complete dataset",45,"Evenness",-1.55141136525625
"down","b) complete dataset",45,"Dispersion",-0.804727922745033
"down","b) complete dataset",45,"Redundancy",0.874351849709588
"up","b) complete dataset",45,"Richness",-2.64430307380384
"up","b) complete dataset",45,"Evenness",-1.97493156150459
"up","b) complete dataset",45,"Dispersion",-0.858516625097433
"up","b) complete dataset",45,"Redundancy",1.5533705633583
"down","b) complete dataset",46,"Richness",-0.786091602141058
"down","b) complete dataset",46,"Evenness",-0.453789644441998
"down","b) complete dataset",46,"Dispersion",-1.11360995889049
"down","b) complete dataset",46,"Redundancy",1.21319606627516
"up","b) complete dataset",46,"Richness",-1.23711236545748
"up","b) complete dataset",46,"Evenness",-1.35011248598696
"up","b) complete dataset",46,"Dispersion",-0.967579316448866
"up","b) complete dataset",46,"Redundancy",1.06388485914388
"down","b) complete dataset",49,"Richness",-1.91475764792713
"down","b) complete dataset",49,"Evenness",-2.59722888456426
"down","b) complete dataset",49,"Dispersion",0.0922433740749315
"down","b) complete dataset",49,"Redundancy",0.103977760740199
"up","b) complete dataset",49,"Richness",-1.11429374963604
"up","b) complete dataset",49,"Evenness",0.483800772339333
"up","b) complete dataset",49,"Dispersion",-3.58954944793272
"up","b) complete dataset",49,"Redundancy",4.00600618852355
"down","b) complete dataset",50,"Richness",-1.57145964575101
